state,month,year,number
Acre,Julho,2016,1
Acre,Julho,2017,1
Acre,Agosto,1998,1
Acre,Agosto,1999,1
Acre,Agosto,2000,1
Acre,Agosto,2001,1
Acre,Agosto,2002,1
Acre,Agosto,2003,1
Acre,Agosto,2004,1
Acre,Agosto,2005,1
Acre,Agosto,2006,1
Acre,Agosto,2007,1
Acre,Agosto,2008,1
Acre,Agosto,2009,1
Acre,Agosto,2010,1
Acre,Agosto,2011,1
Acre,Agosto,2012,1
Acre,Agosto,2013,1
Acre,Agosto,2014,1
Acre,Agosto,2015,1
Acre,Agosto,2016,1
Acre,Agosto,2017,1
Acre,Setembro,1998,1
Acre,Setembro,1999,1
Acre,Setembro,2000,1
Acre,Setembro,2001,1
Acre,Setembro,2002,1
Acre,Setembro,2003,1
Acre,Setembro,2004,1
Acre,Setembro,2005,1
Acre,Setembro,2006,1
Acre,Setembro,2007,1
Acre,Setembro,2008,1
Acre,Setembro,2009,1
Acre,Setembro,2010,1
Acre,Setembro,2011,1
Acre,Setembro,2012,1
Acre,Setembro,2013,1
Acre,Setembro,2014,1
Acre,Setembro,2015,1
Acre,Setembro,2016,1
Acre,Setembro,2017,1
Acre,Outubro,1998,1
Acre,Outubro,1999,1
Acre,Outubro,2000,1
Acre,Outubro,2001,1
Acre,Outubro,2002,1
Acre,Outubro,2003,1
Acre,Outubro,2004,1
Acre,Outubro,2005,1
Acre,Outubro,2006,1
Acre,Outubro,2007,1
Acre,Outubro,2008,1
Acre,Outubro,2009,1
Acre,Outubro,2010,1
Acre,Outubro,2011,1
Acre,Outubro,2012,1
Acre,Outubro,2013,1
Acre,Outubro,2014,1
Acre,Outubro,2015,1
Acre,Outubro,2016,1
Acre,Outubro,2017,1
Acre,Novembro,2001,1
Acre,Novembro,2002,1
Acre,Novembro,2003,1
Acre,Novembro,2004,1
Acre,Novembro,2005,1
Acre,Novembro,2006,1
Acre,Novembro,2007,1
Acre,Novembro,2008,1
Acre,Novembro,2009,1
Acre,Novembro,2010,1
Acre,Novembro,2011,1
Acre,Novembro,2012,1
Acre,Novembro,2013,1
Acre,Novembro,2014,1
Acre,Novembro,2015,1
Acre,Novembro,2016,1
Acre,Novembro,2017,1
Acre,Dezembro,1998,1
Acre,Dezembro,2002,1
Acre,Dezembro,2003,1
Acre,Dezembro,2004,1
Acre,Dezembro,2005,1
Acre,Dezembro,2009,1
Acre,Dezembro,2011,1
Acre,Dezembro,2012,1
Acre,Dezembro,2013,1
Acre,Dezembro,2014,1
Acre,Dezembro,2015,1
Acre,Dezembro,2016,1
Alagoas,Janeiro,1999,1
Alagoas,Janeiro,2000,1
Alagoas,Janeiro,2001,1
Alagoas,Janeiro,2002,1
Alagoas,Janeiro,2003,1
Alagoas,Janeiro,2004,1
Alagoas,Janeiro,2005,1
Alagoas,Janeiro,2006,1
Alagoas,Janeiro,2007,1
Alagoas,Janeiro,2008,1
Alagoas,Janeiro,2009,1
Alagoas,Janeiro,2010,1
Alagoas,Janeiro,2011,1
Alagoas,Janeiro,2012,1
Alagoas,Janeiro,2013,1
Alagoas,Janeiro,2014,1
Alagoas,Janeiro,2015,1
Alagoas,Janeiro,2016,1
Alagoas,Janeiro,2017,1
Alagoas,Janeiro,2017,1
Alagoas,Fevereiro,1999,1
Alagoas,Fevereiro,2000,1
Alagoas,Fevereiro,2001,1
Alagoas,Fevereiro,2002,1
Alagoas,Fevereiro,2003,1
Alagoas,Fevereiro,2004,1
Alagoas,Fevereiro,2005,1
Alagoas,Fevereiro,2006,1
Alagoas,Fevereiro,2007,1
Alagoas,Fevereiro,2008,1
Alagoas,Fevereiro,2009,1
Alagoas,Fevereiro,2010,1
Alagoas,Fevereiro,2011,1
Alagoas,Fevereiro,2012,1
Alagoas,Fevereiro,2013,1
Alagoas,Fevereiro,2014,1
Alagoas,Fevereiro,2015,1
Alagoas,Fevereiro,2016,1
Alagoas,Fevereiro,2017,1
Alagoas,Março,1999,1
Alagoas,Março,2000,1
Alagoas,Março,2002,1
Alagoas,Março,2003,1
Alagoas,Março,2004,1
Alagoas,Março,2005,1
Alagoas,Março,2006,1
Alagoas,Março,2007,1
Alagoas,Março,2008,1
Alagoas,Março,2009,1
Alagoas,Março,2010,1
Alagoas,Março,2011,1
Alagoas,Março,2012,1
Alagoas,Março,2013,1
Alagoas,Março,2014,1
Alagoas,Março,2015,1
Alagoas,Março,2016,1
Alagoas,Março,2017,1
Alagoas,Abril,1999,1
Alagoas,Abril,2000,1
Alagoas,Abril,2002,1
Alagoas,Abril,2003,1
Alagoas,Abril,2004,1
Alagoas,Abril,2005,1
Alagoas,Abril,2006,1
Alagoas,Abril,2007,1
Alagoas,Abril,2008,1
Alagoas,Abril,2009,1.001
Alagoas,Abril,2010,1.001
Alagoas,Abril,2011,1.002
Alagoas,Abril,2012,1.002
Alagoas,Abril,2013,1.004
Alagoas,Abril,2014,1.008
Alagoas,Abril,2015,1.01
Alagoas,Abril,2016,1.012
Alagoas,Abril,2017,1.013
Alagoas,Maio,1999,1.014
Alagoas,Maio,2000,1.015
Alagoas,Maio,2001,1.018
Alagoas,Maio,2002,1.018
Alagoas,Maio,2003,1.019
Alagoas,Maio,2004,1.02
Alagoas,Maio,2012,1.021
Alagoas,Maio,2013,1.024
Alagoas,Maio,2014,1.025
Alagoas,Maio,2015,1.029
Alagoas,Maio,2016,1.031
Alagoas,Maio,2017,1.032
Alagoas,Junho,2001,1.034
Alagoas,Junho,2011,1.039
Alagoas,Junho,2012,1.05
Alagoas,Junho,2013,1.05
Alagoas,Junho,2014,1.052
Alagoas,Junho,2015,1.053
Alagoas,Junho,2016,1.054
Alagoas,Junho,2017,1.057
Alagoas,Julho,2002,1.059
Alagoas,Julho,2010,1.061
Alagoas,Julho,2014,1.063
Alagoas,Julho,2016,1.064
Alagoas,Agosto,1998,1.067
Alagoas,Agosto,1999,1.071
Alagoas,Agosto,2000,1.072
Alagoas,Agosto,2001,1.074
Alagoas,Agosto,2002,1.078
Alagoas,Agosto,2003,1.079
Alagoas,Agosto,2004,1.08
Alagoas,Agosto,2005,1.081
Alagoas,Agosto,2006,1.081
Alagoas,Agosto,2007,1.081
Alagoas,Agosto,2008,1.081
Alagoas,Agosto,2010,1.082
Alagoas,Agosto,2011,1.085
Alagoas,Agosto,2014,1.093
Alagoas,Agosto,2015,1.096
Alagoas,Agosto,2016,1.099
Alagoas,Agosto,2017,1.1
Alagoas,Setembro,1998,1.101
Alagoas,Setembro,1999,1.103
Alagoas,Setembro,2000,1.103
Alagoas,Setembro,2001,1.104
Alagoas,Setembro,2002,1.108
Alagoas,Setembro,2003,1.108
Alagoas,Setembro,2004,1.11
Alagoas,Setembro,2005,1.111
Alagoas,Setembro,2006,1.111
Alagoas,Setembro,2007,1.117
Alagoas,Setembro,2008,1.124
Alagoas,Setembro,2009,1.124
Alagoas,Setembro,2010,1.126
Alagoas,Setembro,2011,1.129
Alagoas,Setembro,2012,1.131
Alagoas,Setembro,2013,1.133
Alagoas,Setembro,2014,1.137
Alagoas,Setembro,2015,1.146
Alagoas,Setembro,2016,1.148
Alagoas,Setembro,2017,1.148
Alagoas,Outubro,1998,1.15
Alagoas,Outubro,1999,1.152
Alagoas,Outubro,2000,1.157
Alagoas,Outubro,2001,1.161
Alagoas,Outubro,2002,1.161
Alagoas,Outubro,2003,1.161
Alagoas,Outubro,2004,1.168
Alagoas,Outubro,2005,1.174
Alagoas,Outubro,2006,1.176
Alagoas,Outubro,2007,1.176
Alagoas,Outubro,2008,1.177
Alagoas,Outubro,2009,1.177
Alagoas,Outubro,2010,1.183
Alagoas,Outubro,2011,1.19
Alagoas,Outubro,2012,1.193
Alagoas,Outubro,2013,1.194
Alagoas,Outubro,2014,1.194
Alagoas,Outubro,2015,1.195
Alagoas,Outubro,2016,1.198
Alagoas,Outubro,2017,1.2
Alagoas,Novembro,1998,1.202
Alagoas,Novembro,1999,1.204
Alagoas,Novembro,2000,1.205
Alagoas,Novembro,2001,1.206
Alagoas,Novembro,2002,1.207
Alagoas,Novembro,2003,1.211
Alagoas,Novembro,2004,1.213
Alagoas,Novembro,2005,1.217
Alagoas,Novembro,2006,1.217
Alagoas,Novembro,2007,1.217
Alagoas,Novembro,2008,1.221
Alagoas,Novembro,2009,1.227
Alagoas,Novembro,2010,1.228
Alagoas,Novembro,2011,1.229
Alagoas,Novembro,2012,1.231
Alagoas,Novembro,2013,1.233
Alagoas,Novembro,2014,1.237
Alagoas,Novembro,2015,1.238
Alagoas,Novembro,2016,1.243
Alagoas,Novembro,2017,1.248
Alagoas,Dezembro,1998,1.251
Alagoas,Dezembro,1999,1.255
Alagoas,Dezembro,2000,1.255
Alagoas,Dezembro,2001,1.265
Alagoas,Dezembro,2002,1.269
Alagoas,Dezembro,2003,1.271
Alagoas,Dezembro,2004,1.275
Alagoas,Dezembro,2005,1.275
Alagoas,Dezembro,2006,1.276
Alagoas,Dezembro,2007,1.277
Alagoas,Dezembro,2008,1.28
Alagoas,Dezembro,2009,1.284
Alagoas,Dezembro,2010,1.293
Alagoas,Dezembro,2011,1.293
Alagoas,Dezembro,2012,1.295
Alagoas,Dezembro,2013,1.296
Alagoas,Dezembro,2014,1.296
Alagoas,Dezembro,2015,1.297
Alagoas,Dezembro,2016,1.3
Amapa,Janeiro,2000,1.305
Amapa,Janeiro,2002,1.307
Amapa,Janeiro,2003,1.307
Amapa,Janeiro,2004,1.31
Amapa,Janeiro,2005,1.31
Amapa,Janeiro,2006,1.313
Amapa,Janeiro,2008,1.32
Amapa,Janeiro,2009,1.321
Amapa,Janeiro,2010,1.322
Amapa,Janeiro,2012,1.328
Amapa,Janeiro,2013,1.336
Amapa,Janeiro,2014,1.338
Amapa,Janeiro,2015,1.339
Amapa,Janeiro,2016,1.339
Amapa,Janeiro,2017,1.339
Amapa,Fevereiro,1999,1.339
Amapa,Fevereiro,2002,1.341
Amapa,Fevereiro,2004,1.36
Amapa,Fevereiro,2005,1.36
Amapa,Fevereiro,2006,1.36
Amapa,Fevereiro,2011,1.363
Amapa,Fevereiro,2012,1.365
Amapa,Fevereiro,2014,1.366
Amapa,Fevereiro,2015,1.367
Amapa,Fevereiro,2016,1.368
Amapa,Março,1999,1.371
Amapa,Março,2003,1.372
Amapa,Março,2008,1.378
Amapa,Março,2009,1.378
Amapa,Março,2010,1.382
Amapa,Março,2012,1.383
Amapa,Março,2014,1.389
Amapa,Março,2015,1.393
Amapa,Março,2016,1.394
Amapa,Abril,2003,1.397
Amapa,Abril,2008,1.399
Amapa,Abril,2010,1.401
Amapa,Abril,2012,1.402
Amapa,Abril,2013,1.404
Amapa,Abril,2017,1.408
Amapa,Maio,2002,1.408
Amapa,Maio,2009,1.415
Amapa,Maio,2010,1.417
Amapa,Maio,2011,1.417
Amapa,Maio,2012,1.417
Amapa,Maio,2016,1.419
Amapa,Maio,2017,1.422
Amapa,Junho,1999,1.428
Amapa,Junho,2004,1.43
Amapa,Junho,2005,1.432
Amapa,Junho,2009,1.433
Amapa,Junho,2012,1.438
Amapa,Junho,2013,1.441
Amapa,Junho,2015,1.443
Amapa,Junho,2016,1.443
Amapa,Junho,2017,1.444
Amapa,Julho,2001,1.453
Amapa,Julho,2002,1.458
Amapa,Julho,2004,1.461
Amapa,Julho,2009,1.463
Amapa,Julho,2010,1.47
Amapa,Julho,2011,1.472
Amapa,Julho,2012,1.481
Amapa,Julho,2013,1.482
Amapa,Julho,2014,1.482
Amapa,Julho,2015,1.484
Amapa,Julho,2016,1.484
Amapa,Julho,2017,1.488
Amapa,Agosto,1998,1.492
Amapa,Agosto,2000,1.493
Amapa,Agosto,2001,1.494
Amapa,Agosto,2002,1.495
Amapa,Agosto,2003,1.498
Amapa,Agosto,2004,1.505
Amapa,Agosto,2005,1.508
Amapa,Agosto,2006,1.513
Amapa,Agosto,2007,1.524
Amapa,Agosto,2008,1.533
Amapa,Agosto,2009,1.537
Amapa,Agosto,2010,1.555
Amapa,Agosto,2011,1.561
Amapa,Agosto,2012,1.571
Amapa,Agosto,2013,1.572
Amapa,Agosto,2014,1.577
Amapa,Agosto,2015,1.579
Amapa,Agosto,2016,1.581
Amapa,Agosto,2017,1.591
Amapa,Setembro,1998,1.593
Amapa,Setembro,1999,1.595
Amapa,Setembro,2000,1.597
Amapa,Setembro,2001,1.599
Amapa,Setembro,2002,1.606
Amapa,Setembro,2003,1.612
Amapa,Setembro,2004,1.613
Amapa,Setembro,2005,1.613
Amapa,Setembro,2006,1.618
Amapa,Setembro,2007,1.62
Amapa,Setembro,2008,1.622
Amapa,Setembro,2009,1.629
Amapa,Setembro,2010,1.63
Amapa,Setembro,2011,1.641
Amapa,Setembro,2012,1.642
Amapa,Setembro,2013,1.642
Amapa,Setembro,2014,1.647
Amapa,Setembro,2015,1.651
Amapa,Setembro,2016,1.652
Amapa,Setembro,2017,1.653
Amapa,Outubro,1998,1.655
Amapa,Outubro,1999,1.656
Amapa,Outubro,2000,1.658
Amapa,Outubro,2001,1.66
Amapa,Outubro,2002,1.662
Amapa,Outubro,2003,1.666
Amapa,Outubro,2004,1.668
Amapa,Outubro,2005,1.677
Amapa,Outubro,2006,1.682
Amapa,Outubro,2007,1.687
Amapa,Outubro,2008,1.687
Amapa,Outubro,2009,1.693
Amapa,Outubro,2010,1.696
Amapa,Outubro,2011,1.698
Amapa,Outubro,2012,1.703
Amapa,Outubro,2013,1.705
Amapa,Outubro,2014,1.706
Amapa,Outubro,2015,1.709
Amapa,Outubro,2016,1.717
Amapa,Outubro,2017,1.721
Amapa,Novembro,1998,1.736
Amapa,Novembro,1999,1.738
Amapa,Novembro,2000,1.739
Amapa,Novembro,2001,1.739
Amapa,Novembro,2002,1.753
Amapa,Novembro,2003,1.754
Amapa,Novembro,2004,1.755
Amapa,Novembro,2005,1.761
Amapa,Novembro,2006,1.766
Amapa,Novembro,2007,1.768
Amapa,Novembro,2008,1.768
Amapa,Novembro,2009,1.77
Amapa,Novembro,2010,1.776
Amapa,Novembro,2011,1.776
Amapa,Novembro,2012,1.777
Amapa,Novembro,2013,1.782
Amapa,Novembro,2014,1.787
Amapa,Novembro,2015,1.788
Amapa,Novembro,2016,1.79
Amapa,Novembro,2017,1.791
Amapa,Dezembro,1998,1.795
Amapa,Dezembro,1999,1.795
Amapa,Dezembro,2000,1.798
Amapa,Dezembro,2001,1.803
Amapa,Dezembro,2002,1.807
Amapa,Dezembro,2003,1.809
Amapa,Dezembro,2004,1.81
Amapa,Dezembro,2005,1.812
Amapa,Dezembro,2006,1.819
Amapa,Dezembro,2007,1.823
Amapa,Dezembro,2008,1.827
Amapa,Dezembro,2009,1.83
Amapa,Dezembro,2010,1.835
Amapa,Dezembro,2011,1.84
Amapa,Dezembro,2012,1.844
Amapa,Dezembro,2013,1.861
Amapa,Dezembro,2014,1.861
Amapa,Dezembro,2015,1.863
Amapa,Dezembro,2016,1.867
Amazonas,Janeiro,1999,1.869
Amazonas,Janeiro,2000,1.87
Amazonas,Janeiro,2001,1.884
Amazonas,Janeiro,2002,1.889
Amazonas,Janeiro,2003,1.896
Amazonas,Janeiro,2004,1.898
Amazonas,Janeiro,2005,1.927
Amazonas,Janeiro,2006,1.93
Amazonas,Janeiro,2007,1.941
Amazonas,Janeiro,2008,1.947
Amazonas,Janeiro,2009,1.949
Amazonas,Janeiro,2010,1.949
Amazonas,Janeiro,2011,1.952
Amazonas,Janeiro,2012,1.954
Amazonas,Janeiro,2013,1.955
Amazonas,Janeiro,2014,1.958
Amazonas,Janeiro,2015,1.969
Amazonas,Janeiro,2016,1.969
Amazonas,Janeiro,2017,1.975
Amazonas,Fevereiro,1999,1.976
Amazonas,Fevereiro,2000,1.976
Amazonas,Fevereiro,2001,1.978
Amazonas,Fevereiro,2002,1.981
Amazonas,Fevereiro,2003,1.986
Amazonas,Fevereiro,2004,1.987
Amazonas,Fevereiro,2005,1.991
Amazonas,Fevereiro,2006,1.996
Amazonas,Fevereiro,2007,2
Amazonas,Fevereiro,2008,2
Amazonas,Fevereiro,2009,2
Amazonas,Fevereiro,2010,2
Amazonas,Fevereiro,2011,2
Amazonas,Fevereiro,2012,2
Amazonas,Fevereiro,2013,2
Amazonas,Fevereiro,2014,2
Amazonas,Fevereiro,2015,2
Amazonas,Fevereiro,2016,2
Amazonas,Fevereiro,2017,2
Amazonas,Março,1999,2
Amazonas,Março,2000,2
Amazonas,Março,2001,2
Amazonas,Março,2002,2
Amazonas,Março,2003,2
Amazonas,Março,2004,2
Amazonas,Março,2005,2
Amazonas,Março,2006,2
Amazonas,Março,2007,2
Amazonas,Março,2008,2
Amazonas,Março,2009,2
Amazonas,Março,2010,2
Amazonas,Março,2011,2
Amazonas,Março,2012,2
Amazonas,Março,2013,2
Amazonas,Março,2014,2
Amazonas,Março,2015,2
Amazonas,Março,2016,2
Amazonas,Março,2017,2
Amazonas,Abril,1999,2
Amazonas,Abril,2000,2
Amazonas,Abril,2001,2
Amazonas,Abril,2002,2
Amazonas,Abril,2003,2
Amazonas,Abril,2004,2
Amazonas,Abril,2005,2
Amazonas,Abril,2006,2
Amazonas,Abril,2008,2
Amazonas,Abril,2009,2
Amazonas,Abril,2010,2
Amazonas,Abril,2011,2
Amazonas,Abril,2012,2
Amazonas,Abril,2013,2
Amazonas,Abril,2014,2
Amazonas,Abril,2015,2
Amazonas,Abril,2016,2
Amazonas,Abril,2017,2
Amazonas,Maio,2000,2
Amazonas,Maio,2002,2
Amazonas,Maio,2003,2
Amazonas,Maio,2005,2
Amazonas,Maio,2006,2
Amazonas,Maio,2008,2
Amazonas,Maio,2009,2
Amazonas,Maio,2010,2
Amazonas,Maio,2011,2
Amazonas,Maio,2012,2
Amazonas,Maio,2013,2
Amazonas,Maio,2014,2
Amazonas,Maio,2015,2
Amazonas,Maio,2016,2
Amazonas,Maio,2017,2
Amazonas,Junho,1998,2
Amazonas,Junho,1999,2
Amazonas,Junho,2000,2
Amazonas,Junho,2001,2
Amazonas,Junho,2002,2
Amazonas,Junho,2003,2
Amazonas,Junho,2004,2
Amazonas,Junho,2005,2
Amazonas,Junho,2006,2
Amazonas,Junho,2007,2
Amazonas,Junho,2008,2
Amazonas,Junho,2009,2
Amazonas,Junho,2010,2
Amazonas,Junho,2011,2
Amazonas,Junho,2012,2
Amazonas,Junho,2013,2
Amazonas,Junho,2014,2
Amazonas,Junho,2015,2
Amazonas,Junho,2016,2
Amazonas,Junho,2017,2
Amazonas,Julho,1998,2
Amazonas,Julho,1999,2
Amazonas,Julho,2000,2
Amazonas,Julho,2001,2
Amazonas,Julho,2002,2
Amazonas,Julho,2003,2
Amazonas,Julho,2004,2
Amazonas,Julho,2005,2
Amazonas,Julho,2006,2
Amazonas,Julho,2007,2
Amazonas,Julho,2008,2
Amazonas,Julho,2009,2
Amazonas,Julho,2010,2
Amazonas,Julho,2011,2
Amazonas,Julho,2012,2
Amazonas,Julho,2013,2
Amazonas,Julho,2014,2
Amazonas,Julho,2015,2
Amazonas,Julho,2016,2
Amazonas,Julho,2017,2
Amazonas,Agosto,1998,2
Amazonas,Agosto,1999,2
Amazonas,Agosto,2000,2
Amazonas,Agosto,2001,2
Amazonas,Agosto,2002,2
Amazonas,Agosto,2003,2
Amazonas,Agosto,2004,2
Amazonas,Agosto,2005,2
Amazonas,Agosto,2006,2
Amazonas,Agosto,2007,2
Amazonas,Agosto,2008,2
Amazonas,Agosto,2009,2
Amazonas,Agosto,2010,2
Amazonas,Agosto,2011,2
Amazonas,Agosto,2012,2
Amazonas,Agosto,2013,2
Amazonas,Agosto,2014,2
Amazonas,Agosto,2015,2
Amazonas,Agosto,2016,2
Amazonas,Agosto,2017,2
Amazonas,Setembro,1998,2
Amazonas,Setembro,1999,2
Amazonas,Setembro,2000,2
Amazonas,Setembro,2001,2
Amazonas,Setembro,2002,2
Amazonas,Setembro,2003,2
Amazonas,Setembro,2004,2
Amazonas,Setembro,2005,2
Amazonas,Setembro,2006,2
Amazonas,Setembro,2007,2
Amazonas,Setembro,2008,2
Amazonas,Setembro,2009,2
Amazonas,Setembro,2010,2
Amazonas,Setembro,2011,2
Amazonas,Setembro,2012,2
Amazonas,Setembro,2013,2
Amazonas,Setembro,2014,2
Amazonas,Setembro,2015,2
Amazonas,Setembro,2016,2
Amazonas,Setembro,2017,2
Amazonas,Outubro,1998,2
Amazonas,Outubro,1999,2
Amazonas,Outubro,2000,2
Amazonas,Outubro,2001,2
Amazonas,Outubro,2002,2
Amazonas,Outubro,2003,2
Amazonas,Outubro,2004,2
Amazonas,Outubro,2005,2
Amazonas,Outubro,2006,2
Amazonas,Outubro,2007,2
Amazonas,Outubro,2008,2
Amazonas,Outubro,2009,2
Amazonas,Outubro,2010,2
Amazonas,Outubro,2011,2
Amazonas,Outubro,2012,2
Amazonas,Outubro,2013,2
Amazonas,Outubro,2014,2
Amazonas,Outubro,2015,2
Amazonas,Outubro,2016,2
Amazonas,Outubro,2017,2
Amazonas,Novembro,1998,2
Amazonas,Novembro,1999,2
Amazonas,Novembro,2000,2
Amazonas,Novembro,2001,2
Amazonas,Novembro,2002,2
Amazonas,Novembro,2003,2
Amazonas,Novembro,2004,2
Amazonas,Novembro,2005,2
Amazonas,Novembro,2006,2
Amazonas,Novembro,2007,2
Amazonas,Novembro,2008,2
Amazonas,Novembro,2009,2.004
Amazonas,Novembro,2010,2.008
Amazonas,Novembro,2011,2.01
Amazonas,Novembro,2012,2.01
Amazonas,Novembro,2013,2.017
Amazonas,Novembro,2014,2.023
Amazonas,Novembro,2015,2.023
Amazonas,Novembro,2016,2.032
Amazonas,Novembro,2017,2.037
Amazonas,Dezembro,1998,2.041
Amazonas,Dezembro,1999,2.041
Amazonas,Dezembro,2000,2.045
Amazonas,Dezembro,2001,2.047
Amazonas,Dezembro,2002,2.048
Amazonas,Dezembro,2003,2.053
Amazonas,Dezembro,2004,2.057
Amazonas,Dezembro,2005,2.068
Amazonas,Dezembro,2006,2.079
Amazonas,Dezembro,2007,2.08
Amazonas,Dezembro,2009,2.093
Amazonas,Dezembro,2010,2.096
Amazonas,Dezembro,2011,2.097
Amazonas,Dezembro,2012,2.098
Amazonas,Dezembro,2013,2.105
Amazonas,Dezembro,2014,2.126
Amazonas,Dezembro,2015,2.132
Amazonas,Dezembro,2016,2.136
Bahia,Janeiro,1999,2.138
Bahia,Janeiro,2000,2.142
Bahia,Janeiro,2001,2.144
Bahia,Janeiro,2002,2.155
Bahia,Janeiro,2003,2.161
Bahia,Janeiro,2004,2.165
Bahia,Janeiro,2005,2.166
Bahia,Janeiro,2006,2.173
Bahia,Janeiro,2007,2.175
Bahia,Janeiro,2008,2.188
Bahia,Janeiro,2009,2.189
Bahia,Janeiro,2010,2.19
Bahia,Janeiro,2011,2.195
Bahia,Janeiro,2012,2.197
Bahia,Janeiro,2013,2.201
Bahia,Janeiro,2014,2.201
Bahia,Janeiro,2015,2.209
Bahia,Janeiro,2016,2.218
Bahia,Janeiro,2017,2.218
Bahia,Fevereiro,1999,2.237
Bahia,Fevereiro,2000,2.239
Bahia,Fevereiro,2001,2.241
Bahia,Fevereiro,2002,2.242
Bahia,Fevereiro,2003,2.25
Bahia,Fevereiro,2004,2.252
Bahia,Fevereiro,2005,2.252
Bahia,Fevereiro,2006,2.254
Bahia,Fevereiro,2007,2.255
Bahia,Fevereiro,2008,2.259
Bahia,Fevereiro,2009,2.261
Bahia,Fevereiro,2010,2.264
Bahia,Fevereiro,2011,2.265
Bahia,Fevereiro,2012,2.267
Bahia,Fevereiro,2013,2.272
Bahia,Fevereiro,2014,2.28
Bahia,Fevereiro,2015,2.285
Bahia,Fevereiro,2016,2.294
Bahia,Fevereiro,2017,2.296
Bahia,Março,1999,2.297
Bahia,Março,2000,2.3
Bahia,Março,2001,2.311
Bahia,Março,2002,2.316
Bahia,Março,2003,2.323
Bahia,Março,2004,2.327
Bahia,Março,2005,2.331
Bahia,Março,2006,2.331
Bahia,Março,2007,2.332
Bahia,Março,2008,2.37
Bahia,Março,2009,2.382
Bahia,Março,2010,2.383
Bahia,Março,2011,2.39
Bahia,Março,2012,2.392
Bahia,Março,2013,2.397
Bahia,Março,2014,2.4
Bahia,Março,2015,2.401
Bahia,Março,2016,2.401
Bahia,Março,2017,2.403
Bahia,Abril,1999,2.404
Bahia,Abril,2000,2.404
Bahia,Abril,2001,2.405
Bahia,Abril,2002,2.408
Bahia,Abril,2003,2.413
Bahia,Abril,2004,2.423
Bahia,Abril,2005,2.424
Bahia,Abril,2006,2.436
Bahia,Abril,2007,2.438
Bahia,Abril,2008,2.445
Bahia,Abril,2009,2.446
Bahia,Abril,2010,2.452
Bahia,Abril,2011,2.456
Bahia,Abril,2012,2.471
Bahia,Abril,2013,2.475
Bahia,Abril,2014,2.483
Bahia,Abril,2015,2.484
Bahia,Abril,2016,2.494
Bahia,Abril,2017,2.504
Bahia,Maio,1999,2.506
Bahia,Maio,2000,2.511
Bahia,Maio,2001,2.521
Bahia,Maio,2002,2.528
Bahia,Maio,2003,2.529
Bahia,Maio,2004,2.531
Bahia,Maio,2005,2.536
Bahia,Maio,2006,2.54
Bahia,Maio,2007,2.552
Bahia,Maio,2008,2.552
Bahia,Maio,2009,2.552
Bahia,Maio,2010,2.558
Bahia,Maio,2011,2.559
Bahia,Maio,2012,2.564
Bahia,Maio,2013,2.569
Bahia,Maio,2014,2.579
Bahia,Maio,2015,2.586
Bahia,Maio,2016,2.598
Bahia,Maio,2017,2.598
Bahia,Junho,1998,2.604
Bahia,Junho,1999,2.628
Bahia,Junho,2000,2.654
Bahia,Junho,2001,2.662
Bahia,Junho,2002,2.681
Bahia,Junho,2003,2.682
Bahia,Junho,2004,2.686
